index	true	predict
0	6	5
2	68	21
3	68	66
7	90	69
13	18	85
14	48	49
15	14	25
16	86	87
19	10	85
21	1	46
22	28	15
23	86	72
25	85	75
28	53	42
29	56	57
31	14	11
33	42	9
34	38	39
36	46	47
37	52	59
40	15	40
43	14	25
44	11	14
48	51	50
50	46	42
53	15	13
54	40	48
55	28	43
60	4	47
61	20	89
63	8	42
64	49	40
65	90	68
68	7	42
69	3	1
72	64	77
73	24	84
74	44	42
75	52	55
77	86	68
78	44	7
83	54	42
84	54	3
85	12	89
88	32	89
89	52	55
90	40	49
94	51	55
98	4	3
105	8	42
106	50	53
110	50	51
111	50	55
115	88	61
116	55	45
118	39	8
119	13	78
121	53	42
125	28	15
131	4	7
132	78	69
133	90	68
134	34	55
135	53	42
137	64	74
140	52	56
142	48	56
145	50	51
146	51	55
147	69	20
148	8	79
151	40	31
152	8	19
153	34	59
155	50	53
157	55	51
159	48	10
160	0	1
161	34	51
162	14	17
165	21	68
167	1	48
168	66	85
169	1	52
170	28	9
173	42	40
174	28	15
178	9	42
180	0	56
181	19	66
183	56	57
185	45	1
186	53	9
187	51	50
191	12	6
195	26	16
196	25	34
197	50	47
198	3	8
200	10	8
206	86	87
211	44	1
213	44	41
214	86	88
218	73	74
219	46	10
220	51	0
221	48	49
222	75	77
224	52	51
225	24	23
227	59	85
231	46	45
232	51	56
233	4	55
235	12	1
237	14	25
238	22	45
239	34	50
240	48	32
241	28	14
244	78	69
247	62	66
248	90	68
251	12	32
257	7	43
260	3	1
261	75	77
264	0	56
265	49	40
266	13	30
269	35	36
270	13	11
272	56	55
273	7	6
275	38	39
276	23	68
281	23	64
282	50	55
283	45	1
284	77	22
286	28	25
287	5	9
290	23	65
294	26	11
295	43	8
296	59	58
297	10	4
302	77	65
306	1	49
307	7	42
309	75	90
310	48	49
312	50	8
313	48	37
314	85	75
315	58	25
317	9	43
318	42	44
319	0	54
320	30	13
322	46	10
324	75	19
325	34	40
326	13	26
329	32	54
330	35	37
331	67	22
332	48	49
333	75	77
336	40	39
338	26	27
340	4	3
341	53	54
343	29	24
344	9	12
346	59	85
350	46	1
351	89	75
352	19	23
353	4	2
357	23	19
358	5	7
364	52	75
365	44	6
367	68	72
368	10	6
373	17	63
378	66	87
379	45	21
381	85	59
387	75	18
388	75	89
392	73	63
394	84	20
397	30	24
402	50	55
405	78	79
406	31	39
407	14	87
409	50	51
410	15	40
413	51	55
414	52	3
416	52	0
417	40	49
420	40	34
421	85	13
424	52	48
427	49	1
428	48	56
429	79	83
431	49	48
434	14	13
437	28	34
444	18	34
445	20	19
453	42	89
455	90	62
457	40	15
459	13	78
460	50	22
463	3	4
465	17	16
466	40	39
469	3	54
471	61	64
476	1	0
478	48	49
482	57	58
483	4	55
488	62	23
494	51	55
497	20	69
498	13	28
501	24	63
502	86	87
504	9	45
505	56	57
506	42	41
507	86	74
508	77	68
512	3	1
517	5	11
520	4	3
521	15	34
523	30	16
524	90	89
525	42	3
528	52	48
529	90	75
531	28	16
535	74	60
537	43	8
542	44	10
543	50	54
545	3	54
547	53	50
548	7	17
551	30	83
554	31	39
555	52	45
560	10	38
564	39	37
566	10	39
569	68	69
570	60	63
572	15	40
574	40	34
575	57	56
576	22	23
578	51	55
580	38	39
582	1	46
583	51	55
585	50	21
586	55	52
591	6	41
592	50	54
593	28	26
595	13	40
597	38	46
598	8	10
599	56	58
601	45	1
603	40	10
606	12	11
609	5	42
610	34	59
613	43	9
614	34	38
619	21	68
623	45	47
624	0	56
626	50	51
627	13	26
628	1	52
630	6	12
634	45	9
635	3	54
641	79	75
642	89	87
643	34	15
645	50	51
646	77	79
647	52	55
650	17	13
657	48	34
660	1	46
663	55	56
664	3	45
665	3	42
668	75	85
669	51	50
670	30	68
672	75	79
673	51	47
674	44	1
680	75	85
682	3	50
683	35	40
684	28	25
687	39	38
688	54	82
690	86	88
694	12	43
695	10	83
699	78	18
705	45	1
706	1	48
708	51	38
710	67	69
712	73	75
713	86	88
714	29	30
716	46	49
718	90	64
719	5	7
721	1	21
725	17	75
726	36	35
728	68	18
729	56	58
730	88	86
733	35	37
734	54	70
735	87	61
736	68	13
740	74	22
746	32	29
748	75	67
754	67	66
755	4	12
757	14	27
760	68	65
762	86	88
766	5	9
771	46	42
772	15	28
773	77	8
775	10	40
781	25	27
782	35	36
783	14	18
784	52	55
788	73	30
789	3	7
794	45	42
795	42	8
796	44	42
797	9	6
802	23	21
803	52	55
805	34	48
806	5	10
809	28	15
810	3	4
812	61	18
814	15	25
815	3	8
816	50	51
817	12	17
818	12	13
819	28	14
820	26	25
821	7	6
823	54	4
824	0	50
825	77	86
826	3	77
827	12	32
832	75	78
833	23	21
834	13	16
835	12	56
841	56	57
842	41	42
843	40	35
845	52	51
849	9	89
850	5	9
853	86	21
854	51	55
856	15	27
860	45	1
861	34	59
862	43	48
863	55	56
866	28	15
867	3	42
869	50	77
870	51	55
871	5	7
876	3	42
877	90	64
881	45	52
884	74	62
885	68	21
886	48	1
887	42	41
888	8	54
889	42	53
891	12	10
895	11	67
898	18	27
899	7	8
901	67	68
902	12	6
904	5	7
905	53	5
907	78	62
908	12	46
910	58	57
914	15	40
918	52	51
922	15	40
924	14	27
936	44	45
938	1	42
940	47	77
941	13	39
947	67	19
953	78	26
956	32	25
958	40	26
959	48	1
961	78	62
963	68	24
969	11	89
974	59	58
975	15	16
978	43	89
979	42	12
986	89	11
988	34	40
995	3	7
996	12	42
998	53	3
999	61	64
1004	75	89
1007	77	65
1009	42	9
1010	38	34
1014	11	89
1016	12	7
1017	0	3
1018	0	52
1021	68	21
1022	7	12
1024	54	3
1026	78	13
1029	44	6
1034	50	51
1039	43	63
1043	53	42
1044	7	17
1045	12	44
1046	41	0
1047	49	1
1049	41	3
1051	41	48
1053	64	13
1055	75	81
1056	4	77
1058	40	49
1059	87	90
1063	32	85
1064	75	18
1065	45	54
1068	18	75
1071	4	3
1072	47	53
1074	44	1
1075	19	21
1078	87	14
1079	78	86
1080	57	56
1081	12	7
1084	27	15
1086	57	56
1092	85	86
1093	61	69
1094	59	58
1095	30	29
1096	42	54
1098	19	23
1100	68	89
1101	29	70
1102	41	12
1103	4	3
1105	40	34
1106	42	47
1109	51	55
1111	42	53
1114	1	48
1118	54	3
1119	52	51
1123	4	3
1125	60	19
1128	70	69
1129	78	13
1130	39	31
1133	17	75
1136	11	89
1137	18	14
1138	58	59
1139	88	87
1142	50	37
1143	10	40
1149	40	39
1150	54	3
1152	35	36
1153	43	9
1157	40	39
1159	29	30
1161	88	86
1162	39	3
1173	16	13
1176	18	19
1181	40	10
1182	43	42
1185	25	27
1186	66	83
1192	55	0
1194	40	34
1197	8	10
1198	2	37
1199	11	77
1200	50	51
1201	50	47
1203	15	40
1204	52	51
1208	3	0
1212	30	20
1214	61	87
1218	34	37
1221	6	42
1222	50	52
1225	45	42
1226	24	19
1228	40	59
1230	55	51
1232	66	85
1239	6	8
1240	44	49
1242	32	26
1244	44	42
1246	5	11
1248	66	90
1249	78	69
1250	51	0
1251	4	42
1252	6	3
1256	43	22
1258	40	48
1260	86	66
1262	44	54
1265	45	0
1271	85	31
1274	14	25
1276	78	30
1277	53	3
1280	89	85
1282	12	6
1283	47	4
1284	85	22
1285	14	19
1287	48	1
1290	87	89
1291	17	89
1292	50	51
1295	4	73
1296	43	7
1298	13	26
1299	57	59
1300	9	42
1301	40	34
1302	45	52
1307	52	51
1310	50	51
1312	67	17
1313	15	85
1314	62	13
1315	39	34
1320	64	69
1322	59	51
1323	15	28
1328	1	0
1329	74	70
1330	45	52
1331	22	65
1335	48	40
1336	43	9
1337	16	74
1339	57	51
1340	48	56
1343	54	8
1344	52	56
1345	15	40
1347	19	61
1348	5	42
1349	45	48
1352	8	7
1354	77	22
1355	22	23
1356	30	16
1357	45	52
1359	86	68
1360	8	6
1365	4	9
1366	14	40
1367	41	44
1368	15	25
1369	77	43
1370	9	43
1372	9	42
1373	62	69
1375	14	87
1377	53	50
1379	75	85
1382	78	62
1383	32	13
1392	3	42
1396	40	34
1397	61	62
1398	85	34
1400	51	50
1402	3	41
1403	30	68
1405	49	48
1409	86	88
1413	90	74
1414	1	46
1415	43	42
1417	50	4
1419	24	21
1420	45	1
1422	33	18
1425	76	21
1428	28	15
1430	77	8
1433	50	51
1436	52	49
1437	85	0
1438	34	56
1441	22	89
1442	11	5
1443	1	22
1444	42	7
1446	58	49
1447	40	34
1449	66	68
1450	12	89
1452	22	89
1455	75	77
1456	53	8
1457	12	42
1458	23	66
1461	53	3
1464	42	9
1466	8	7
1467	11	89
1469	1	49
1470	3	41
1473	3	42
1474	39	50
1475	50	51
1480	37	50
1481	3	53
1482	1	49
1484	35	36
1485	42	53
1487	69	60
1490	13	16
1491	62	23
1493	3	0
1494	47	46
1495	4	3
1499	43	9
1502	77	50
1504	40	34
1506	10	85
1509	45	43
1525	50	47
1526	37	35
1529	45	47
1535	5	9
1536	40	38
1537	15	36
1538	26	13
1541	55	37
1545	12	42
1546	74	87
1548	56	51
1551	40	15
1552	52	56
1553	86	30
1554	13	16
1555	57	58
1558	18	24
1559	5	11
1565	15	13
1567	77	50
1568	78	16
1570	71	21
1572	32	13
1573	53	42
1574	4	77
1575	88	87
1577	22	65
1579	45	1
1583	44	6
1585	17	13
1588	10	12
1589	70	78
1590	55	50
1592	4	47
1595	44	42
1598	34	39
1606	12	28
1607	45	1
1609	86	88
1610	43	9
1611	44	51
1616	28	15
1619	79	75
1624	5	7
1626	73	65
1628	61	24
1629	37	39
1630	15	40
1631	87	88
1634	53	50
1635	50	42
1636	7	42
1637	51	55
1639	40	49
1640	43	42
1641	43	12
1642	32	13
1646	30	29
1647	51	55
1648	9	5
1651	3	42
1654	77	8
1655	44	42
1657	46	10
1658	54	3
1659	48	49
1661	18	17
1664	52	0
1666	40	34
1667	48	1
1668	11	13
1669	9	42
1670	5	42
1672	50	49
1675	55	51
1680	6	42
1681	3	54
1682	3	42
1683	35	44
1685	85	30
1688	71	22
1689	7	43
1693	14	15
1696	12	46
1697	54	53
1699	7	12
1701	75	69
1707	64	74
1711	36	40
1712	62	78
1715	5	8
1716	45	1
1717	15	48
1719	54	77
1726	43	9
1737	59	58
1738	51	55
1740	37	34
1742	41	1
1743	34	57
1747	89	77
1748	11	87
1751	3	54
1755	12	9
1756	90	61
1758	54	3
1760	75	19
1762	35	37
1763	16	26
1766	66	85
1768	50	37
1771	46	25
1773	4	42
1774	52	0
1775	7	3
1776	0	3
1779	68	21
1783	40	10
1785	54	42
1791	34	40
1793	90	68
1796	67	69
1798	12	11
1799	50	3
1800	32	12
1801	45	56
1803	4	3
1804	51	55
1806	42	73
1808	4	47
1816	51	52
1819	53	3
1822	3	52
1824	41	1
1825	61	22
1831	88	86
1833	50	55
1841	87	88
1843	77	22
1844	12	42
1847	52	51
1851	57	34
1852	5	10
1855	53	3
1858	1	3
1859	84	17
1860	40	15
1861	14	28
1862	86	62
1864	4	10
1866	9	42
1868	29	24
1871	51	50
1872	10	48
1875	30	32
1877	12	13
1878	65	69
1879	51	52
1880	49	1
1883	3	1
1887	7	3
1896	53	3
1897	50	54
1899	20	69
1900	40	10
1905	54	42
1907	35	36
1908	18	75
1910	80	81
1916	1	45
1918	40	37
1919	54	3
1922	48	40
1925	0	26
1926	57	58
1929	43	9
1931	1	52
1932	56	0
1933	75	85
1936	38	40
1939	48	46
1942	9	43
1947	3	42
1951	23	63
1952	25	26
1953	66	68
1954	1	45
1958	53	47
1959	50	54
1961	89	12
1962	12	13
1963	87	28
1965	22	1
1966	34	36
1968	59	34
1970	45	3
1971	48	37
1973	52	55
1976	50	8
1978	61	23
1981	48	10
1985	8	89
1987	6	42
1988	73	65
1989	75	19
1992	40	56
1993	42	9
1995	17	20
2007	19	61
2011	9	42
2013	50	8
2014	40	10
2016	30	78
2018	42	41
2020	53	3
2024	45	1
2025	41	9
2026	13	32
2027	59	58
2029	51	48
2035	57	56
2038	39	51
2040	6	12
2042	66	84
2045	43	9
2046	59	51
2047	48	34
2049	69	62
2054	18	25
2055	7	45
2056	34	15
2057	90	85
2058	45	1
2059	40	15
2062	86	1
2066	52	48
2067	37	39
2069	45	47
2070	43	12
2071	43	9
2072	43	9
2073	56	57
2075	22	86
2076	51	50
2081	26	25
2082	15	25
2083	45	1
2085	55	51
2089	90	89
2090	17	90
2091	54	3
2092	50	51
2093	28	10
2097	44	42
2098	0	52
2103	77	61
2104	69	20
2105	43	54
2109	46	41
2111	14	89
2114	14	18
2115	52	0
2117	57	56
2119	66	68
2121	44	1
2123	3	7
2124	3	4
2125	23	68
2126	20	69
2127	12	44
2129	18	78
2131	34	59
2132	39	16
2134	41	44
2136	7	17
2140	42	6
2141	49	47
2143	89	77
2145	5	9
2146	43	1
2148	1	0
2149	45	3
2150	50	55
2151	50	55
2156	8	89
2157	16	74
2159	10	40
2170	19	75
2171	54	3
2173	15	27
2174	37	0
2175	50	32
2176	50	51
2177	5	89
2178	51	50
2180	5	7
2181	23	1
2183	66	74
2184	75	89
2185	12	6
2187	40	49
2188	66	90
2189	52	56
2191	15	34
2193	89	87
2196	49	44
2200	77	54
2204	3	54
2207	18	65
2208	3	42
2209	60	22
2213	12	46
2215	54	47
2217	58	57
2219	85	78
2220	42	6
2221	90	89
2224	3	77
2226	44	45
2228	40	36
2229	56	21
2231	3	42
2234	68	90
2236	90	78
2237	4	3
2239	10	40
2240	59	85
2241	1	41
2243	54	46
2245	6	1
2251	88	86
2252	3	42
2254	34	50
2255	42	53
2257	7	10
2259	68	65
2261	43	9
2263	29	25
2264	19	75
2265	15	16
2267	52	50
2268	54	42
2271	16	63
2276	7	42
2277	42	54
2279	27	25
2281	62	69
2283	69	90
2286	43	8
2288	14	16
2290	88	86
2291	6	42
2294	54	7
2295	51	50
2297	50	42
2300	13	15
2301	39	36
2302	61	63
2305	90	23
2308	50	51
2311	9	5
2312	52	55
2313	6	41
2314	9	5
2318	3	52
2319	78	69
2320	3	45
2321	75	89
2324	46	1
2325	50	51
2326	38	39
2327	51	50
2328	12	42
2331	48	12
2332	50	47
2334	15	28
2335	52	8
2338	7	3
2339	51	47
2340	75	77
2341	49	25
2346	22	87
2348	15	28
2350	52	55
2351	55	77
2353	44	50
2355	44	46
2357	36	40
2358	3	1
2360	87	88
2363	48	45
2364	14	40
2371	20	79
2373	74	60
2374	53	42
2376	7	87
2381	51	56
2383	75	18
2384	48	55
2386	12	6
2387	22	65
2389	5	9
2392	20	69
2394	12	6
2396	88	86
2397	45	41
2400	59	55
2402	69	64
2403	1	45
2406	86	88
2407	51	55
2409	13	10
2410	52	39
2414	52	45
2417	6	44
2419	88	87
2421	12	8
2435	3	4
2437	45	12
2438	50	34
2441	90	20
2443	53	51
2444	75	18
2446	43	7
2447	68	90
2449	28	16
2451	55	21
2452	34	15
2454	27	14
2459	34	54
2460	69	75
2462	1	25
2463	61	1
2465	35	37
2468	30	29
2469	45	51
2470	35	36
2471	44	56
2472	69	78
2477	69	20
2478	89	39
2480	17	89
2481	48	1
2484	56	59
2486	52	55
2487	14	16
2488	40	34
2490	43	12
2491	88	90
2494	15	16
2495	12	89
2498	50	75
2500	34	51
2508	34	58
2511	38	36
2513	45	41
2514	47	4
2521	30	87
2522	48	40
2524	57	51
2526	77	1
2529	87	90
2530	40	15
2536	52	55
2537	52	56
2541	52	55
2542	60	72
2543	74	17
2548	6	42
2549	20	32
2551	45	12
2552	54	3
2554	57	58
2559	15	40
2560	68	77
2561	14	25
2563	18	75
2564	2	37
2566	30	29
2568	9	5
2569	61	77
2570	50	42
2571	13	12
2573	54	42
2576	54	42
2579	41	45
2580	42	3
2581	85	23
2582	78	62
2585	12	46
2587	50	51
2589	79	63
2591	65	22
2592	54	3
2593	53	3
2600	8	42
2601	37	4
2602	40	15
2609	46	4
2612	44	36
2615	15	25
2616	34	59
2620	26	25
2621	13	16
2622	4	42
2623	46	12
2626	48	10
2627	3	0
2628	9	6
2630	65	19
2631	62	87
2633	1	46
2634	61	74
2635	45	1
2637	49	48
2638	47	48
2639	40	34
2640	15	27
2641	87	30
2646	75	22
2650	24	19
2651	1	52
2654	15	40
2655	4	55
2656	43	9
2660	43	89
2661	18	14
2662	35	36
2666	40	35
2673	34	48
2679	68	77
2680	40	15
2684	50	51
2686	57	56
2687	3	42
2690	40	35
2696	2	4
2698	50	55
2699	9	53
2702	12	6
2703	0	56
2704	48	51
2705	1	37
2709	52	47
2714	35	36
2715	48	42
2716	22	64
2722	57	56
2726	59	56
2728	89	80
2729	75	89
2731	57	56
2732	45	1
2737	14	26
2741	23	19
2743	9	42
2745	40	39
2747	50	0
2748	32	1
2751	45	1
2753	8	7
2761	3	7
2762	68	90
2764	3	51
